S.no,Site ID,Site Name,STATE,City,Transmission,STATUS,1.8G+L2.1+C,SUPERVISOR
1,JBA0811,Supiri,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
2,JBA0812,Juba Town,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
3,JBA0813,Nyakuron Full Gospel Chur,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
4,JBA0827,Kator,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
5,JBA0867,Kololo,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
6,JBA0868,Juba Switch,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
7,JBA0882,Rock City,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
8,JBA0884,Konyo Konyo,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
9,JBA0885,Rejaf Payam,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
10,JBA0891,Juba UN Airport,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
11,JBA0892,Nimra Talata,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
12,JBA0893,Jebel Market,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
13,JBA6071,Hai Tarawa,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
14,JBA6073,Atlabara,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
15,JBA6074,Munuki 107,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
16,JBA6509,Juba UN Airport 2,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
17,JBA6075,Gurei,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
18,JBA6077,Lologo,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
19,JBA6325,Bilfam,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
20,JBA6379,Juba UN House,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
21,JBA6380,Munuki,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
22,JBA6391,Juba Post,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
23,JBA6467,Nyakuron,C.E.S,Juba,Microwave,On Air,Active,Joshua Francis 
